#lD,,Make,Model,Bodywork,Operator,Chassis ID,Lifespan Expiry Date,Road Tax Expiry Date ,Livery,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model,Advertisement Override,Registration Date
54,E,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000126,25Dec2025,25Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,26Dec2008
55,C,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000127,25Dec2025,25Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,26Dec2008
56,A,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000128,25Dec2025,25Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,26Dec2008
57,Y,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000129,25Dec2025,25Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,26Dec2008
58,U,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000130,25Dec2025,25Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,26Dec2008
59,S,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000131,25Dec2025,25Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,26Dec2008
60,L,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000132,25Dec2025,25Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,26Dec2008
61,J,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000133,25Dec2025,25Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,26Dec2008
62,G,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000134,25Dec2025,25Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,26Dec2008
63,D,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000135,28Dec2025,28Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,29Dec2008
64,B,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000136,28Dec2025,28Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,29Dec2008
65,Z,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000137,28Dec2025,28Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,29Dec2008
66,X,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000138,28Dec2025,28Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,29Dec2008
67,T,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000139,28Dec2025,28Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,29Dec2008
68,R,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000177,29Jun2026,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,2,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,30Jun2009
69,M,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000178,29Jun2026,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,2,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,30Jun2009
70,H,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000179,29Jun2026,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,2,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,30Jun2009
71,E,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000180,29Jun2026,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,2,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,30Jun2009
72,C,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000181,29Jun2026,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,2,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,30Jun2009
73,A,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000182,29Jun2026,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,2,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,30Jun2009
74,Y,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000183,29Jun2026,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,2,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,30Jun2009
75,U,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000184,29Jun2026,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,2,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,30Jun2009
76,S,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000185,29Jun2026,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,2,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,30Jun2009
77,P,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000186,29Jun2026,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,2,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,30Jun2009
