#lD,,Make,Model,Bodywork,Operator,Chassis ID,Lifespan Expiry Date,Road Tax Expiry Date ,Livery,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model,Advertisement Override,Registration Date
3030,D,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ8C7001570,31Jan2030,01Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,1,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Feb2013
3031,B,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZXC7001571,31Jan2030,01Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,1,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Feb2013
3032,Z,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ1C7001572,31Jan2030,01Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,1,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Feb2013
3033,X,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ3C7001573,31Jan2030,01Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,1,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Feb2013
3034,T,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ5C7001574,31Jan2030,01Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,1,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Feb2013
3035,R,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ4D7001745,28Feb2030,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Mar2013
3036,M,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZXD7001751,28Feb2030,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Mar2013
3037,K,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ3D7001753,28Feb2030,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Mar2013
3038,H,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ4D7001759,28Feb2030,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Mar2013
3039,E,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ0D7001760,28Feb2030,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Mar2013
3040,A,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ1D7001752,28Feb2030,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Mar2013
3041,Y,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ5D7001754,28Feb2030,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Mar2013
3042,U,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ8D7001750,28Feb2030,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Mar2013
3043,S,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ2D7001758,28Feb2030,31Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Mar2013
3044,P,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ5D7001785,01Apr2030,01Oct2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Apr2013
3045,L,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ9D7001787,01Apr2030,01Oct2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Apr2013
3046,J,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ5D7001771,01Apr2030,01Oct2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Apr2013
3047,G,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ5D7001771,01Apr2030,01Oct2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Apr2013
3048,D,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ6D7001780,01Apr2030,01Oct2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Apr2013
3049,B,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ9D7001790,01May2030,01Nov2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02May2013
3050,X,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ8D7001764,01May2030,01Nov2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02May2013
3051,T,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ0D7001774,01May2030,01Nov2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02May2013
3052,R,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ0D7001810,01May2030,01Nov2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02May2013
3053,M,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ2D7001811,01May2030,01Nov2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02May2013
3054,K,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ5D7001821,02Jun2030,02Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,03Jun2013
3055,H,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ7D7001822,02Jun2030,02Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,03Jun2013
3056,E,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ9D7001823,02Jun2030,02Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,03Jun2013
3057,C,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ4D7001826,02Jun2030,02Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,03Jun2013
3058,A,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ2D7001825,02Jun2030,02Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,03Jun2013
3059,Y,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ6D7001827,30Jun2030,30Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Jul2013
3060,S,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ8D7001828,30Jun2030,30Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Jul2013
3061,P,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZXD7001829,30Jun2030,30Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Jul2013
3062,L,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ6D7001830,30Jun2030,30Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Jul2013
3063,J,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ8D7001831,31Jul2030,31Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Aug2013
3064,G,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZXD7001832,31Jul2030,31Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Aug2013
3065,D,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ1D7001833,31Jul2030,31Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Aug2013
3066,B,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ2D7001842,31Jul2030,31Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Aug2013
3067,Z,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ4D7001860,31Jul2030,31Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Aug2013
3068,X,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ5D7001866,31Jul2030,31Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Aug2013
3069,T,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ7D7001867,31Jul2030,31Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Aug2013
3070,M,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ4D7001843,31Jul2030,31Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Aug2013
3071,K,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ7D7001853,31Jul2030,31Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Aug2013
3072,H,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ9D7001854,01Sep2030,01Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Sep2013
3073,E,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ1D7001878,01Sep2030,01Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Sep2013
3074,C,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ3D7001879,01Sep2030,01Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Sep2013
3075,A,MAN,NL323F,MAN's Lion City Hybrid,SMRT Buses,WMAA22ZZXD7001880,01Sep2030,17Oct2017,SMRT Buses (Pixel) Livery,Re-registered to SG3100M,AMDEP,SP (R),2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Sep2013
3076,Y,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ1D7001881,30Sep2030,30Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Oct2013
3077,U,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ7D7001884,30Sep2030,30Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Oct2013
3078,S,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ9D7001885,30Sep2030,30Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Oct2013
3079,P,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ2D7001887,30Sep2030,30Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Oct2013
3080,J,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ4D7001888,31Oct2030,31Oct2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Nov2013
3081,G,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ6D7001889,31Oct2030,31Oct2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Nov2013
3082,D,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ6D7001892,31Oct2030,31Oct2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Nov2013
3083,B,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ8D7001893,31Oct2030,31Oct2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Nov2013
3084,Z,MAN,NL323F,MAN's Lion City Hybrid,Tower Transit Singapore,WMAA22ZZ1D7001895,31Oct2030,31Oct2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Nov2013
3085,X,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ3D7001896,31Oct2030,31Oct2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Nov2013
3086,T,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ7D7001920,31Oct2030,31Oct2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Nov2013
3087,R,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ9D7001921,31Oct2030,31Oct2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Nov2013
3088,M,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ0D7001922,31Oct2030,31Oct2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Nov2013
3089,K,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ8D7001926,31Oct2030,31Oct2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Nov2013
3090,E,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ1D7001928,31Oct2030,31Oct2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Nov2013
3091,C,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZXD7001930,31Oct2030,31Oct2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Nov2013
3092,A,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ5D7001933,31Oct2030,31Oct2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Nov2013
3093,Y,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ9D7001935,31Oct2030,31Oct2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,01Nov2013
3094,U,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ7D7001917,01Dec2030,01Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Dec2013
3095,S,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ6D7001939,01Dec2030,01Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Dec2013
3096,P,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ2D7001940,01Dec2030,01Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Dec2013
3097,L,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ4D7001941,01Dec2030,01Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Dec2013
3098,J,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ8D7001957,02Feb2030,02Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,03Feb2013
3099,G,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZXD7001958,02Feb2030,02Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,03Feb2013
3100,K,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ1D7001959,01Jan2030,01Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Jan2013
3101,H,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ5D7001978,01Jan2030,01Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Jan2013
3102,E,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ2D7001985,01Jan2030,01Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Jan2013
3103,C,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ6D7001987,01Jan2030,01Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Jan2013
3104,A,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ9D7001997,01Jan2030,01Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Jan2013
3105,Y,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ0D7001998,01Jan2030,01Jul2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,02Jan2013
3106,U,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ7D7001996,02Feb2030,02Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,03Feb2013
3107,S,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ5D7002001,02Feb2030,02Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,03Feb2013
3108,P,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZXD7002009,02Feb2030,02Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,03Feb2013
3109,L,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ4D7001969,02Feb2030,02Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,03Feb2013
3110,G,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ5D7001995,02Feb2030,02Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,03Feb2013
3111,D,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ1D7002013,02Feb2030,02Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,03Feb2013
3112,B,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ7D7002016,02Feb2030,02Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,03Feb2013
3113,Z,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ9D7001983,02Feb2030,02Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,03Feb2013
3114,X,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ2D7001971,02Mar2030,02Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,03Mar2013
3115,T,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ4D7001972,02Mar2030,02Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,03Mar2013
3116,R,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ3D7001980,02Mar2030,02Sep2020,Land Transport Authority (LTA)'s Lush Green livery,,,,2,ZF EcoLife 6 AP 2000 B,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,03Mar2013
3117,M,MAN,NL323F,MAN's Lion City Hybrid,SBS Transit,WMAA22ZZ9F7002585,1Feb2032,1Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 864.5,Mobitec MobiLED,Vogelsitze System 750/3,Masats,Denso LD8u,,2Feb2015
