#ID,,Make,Model,Bodywork,Operator,Chassis ID,Lifespan Expiry Date,Road Tax Expiry Date ,Livery,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model,Advertisement Override,Registration Date
983,P,Volvo,B10M MKIV,Duple Metsec,SBS Transit,YV31M2F16TA044301,26Jan2015,,SBS Transit Livery,,BNDEP,14/14E/401,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Sütrak AC 35,,27Jan1998
984,L,Volvo,B10M MKIV,Duple Metsec,SBS Transit,YV31M2F1XTA044303,26Jan2015,,SBS Transit Livery,,HGDEP,109,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Sütrak AC 35,,27Jan1998
985,J,Volvo,B10M MKIV,Duple Metsec,SBS Transit,YV31M2F13TA044014,26Jan2015,,SBS Transit Livery,,AMDEP,SP,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Sütrak AC 35,,27Jan1998
986,G,Volvo,B10M MKIV,Duple Metsec,SBS Transit,YV31M2F19TA044017,26Jan2015,,SBS Transit Livery,,BNDEP,17/17A,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Sütrak AC 35,,27Jan1998
987,D,Volvo,B10M MKIV,Duple Metsec,SBS Transit,YV31M2F1XTA044155,26Jan2015,,SBS Transit Livery,,CGBP,39,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Sütrak AC 35,,27Jan1998
988,B,Volvo,B10M MKIV,Duple Metsec,SBS Transit,YV31M2F14TA044300,14Feb2015,,SBS Transit Livery,,BNDEP,9,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Sütrak AC 35,,15Feb1998
989,Z,Volvo,B10M MKIV,Duple Metsec,SBS Transit,YV31M2F12TA044019,14Feb2015,,SBS Transit Livery,,HGDEP,100,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Sütrak AC 35,,15Feb1998
990,T,Volvo,B10M MKIV,Duple Metsec,SBS Transit,YV31M2F11SA043152,,,SBS Transit Livery,Scrapped,BRBP,131,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Sütrak AC 35,,Unknown
991,R,Volvo,B10M MKIV,Duple Metsec,SBS Transit,YV31M2F12TA044263,,,SBS Transit Livery,Scrapped,HGDEP,103,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Sütrak AC 35,,Unknown
992,M,Volvo,B10M MKIV,Duple Metsec,SBS Transit,YV31M2F11SA043751,17Apr2015,,SBS Transit Livery,,BNDEP,SP,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Sütrak AC 35,,18Apr1998
993,K,Volvo,B10M MKIV,Duple Metsec,SBS Transit,YV31M2F11TA044304,17Apr2015,,SBS Transit Livery,,BNDEP,SP,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Sütrak AC 35,,18Apr1998
994,H,Volvo,B10M MKIV,Duple Metsec,SBS Transit,YV31M2F19TA044261,17Apr2015,,SBS Transit Livery,,CGBP,293,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Sütrak AC 35,,18Apr1998
995,E,Volvo,B10M MKIV,Duple Metsec,SBS Transit,YV31M2F1XSA043764,17Apr2015,,SBS Transit Livery,,HGDEP,74,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Sütrak AC 35,,18Apr1998
996,C,Volvo,B10M MKIV,Duple Metsec,SBS Transit,YV31M2F18TA044302,17Apr2015,,SBS Transit Livery,,CGBP,292,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Sütrak AC 35,,18Apr1998
997,A,Volvo,B10M MKIV,Duple Metsec,SBS Transit,YV31M2F17TA044081,13Oct2012,,SBS Transit Livery,Demonstrator: Failed,HGDEP,83,Demo,ZF Ecomat I 4HP 500,Mobitec MobiDOT,Unknown,Deans,Sütrak AC 35,,15Oct1995
998,Y,Volvo,B10MA MKIV-60,Duple Metsec,SBS Transit,YV31M2B15TA044974,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
999,U,Mercedes Benz,O405G,Volgren CR221,SBS Transit,WDB35721121082773,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1000,U,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1001,S,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1002,P,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1003,L,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1004,J,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1005,G,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1006,D,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1007,B,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1008,Z,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1009,X,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1010,R,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1011,M,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1012,K,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1013,H,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1014,E,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1015,C,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1016,A,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1017,Y,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1018,U,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1019,S,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1020,L,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1021,J,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1022,G,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1023,D,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1024,B,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1025,Z,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1026,X,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1027,T,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1028,R,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1029,M,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1030,H,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1031,E,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1032,C,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1033,A,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1034,Y,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1035,U,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1036,S,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1037,P,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1038,L,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1039,J,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1040,D,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1041,B,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1042,Z,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1043,X,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1044,T,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1045,R,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1046,M,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1047,K,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1048,H,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1049,E,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1050,A,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1051,Y,Albion,Viking VK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1052,U,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1053,S,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1054,P,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1055,L,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1056,J,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1057,G,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1058,D,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1059,B,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1060,X,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1061,T,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1062,R,Leyland,Comet 13C/6RP,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1063,M,,,,,,,,,,,,,,,,,,,
1064,K,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1065,H,,,,,,,,,,,,,,,,,,,
1066,E,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1067,C,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1068,A,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1069,Y,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1070,S,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1071,P,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1072,L,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1073,J,,,,,,,,,,,,,,,,,,,
1074,G,,,,,,,,,,,,,,,,,,,
1075,D,,,,,,,,,,,,,,,,,,,
1076,B,,,,,,,,,,,,,,,,,,,
1077,Z,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1078,X,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1079,T,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1080,M,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1081,K,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1082,H,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1083,E,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1084,C,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1085,A,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1086,Y,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1087,U,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1088,S,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1089,P,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1090,J,,,,,,,,,,,,,,,,,,,
1091,G,Albion,Viking EVK41UL,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1092,D,Austin,1100F,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1093,B,Austin,1100F,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1094,Z,Austin,1100F,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1095,X,Austin,1100F,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1096,T,Austin,1100F,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1097,R,,,,,,,,,,,,,,,,,,,
1098,M,Austin,1100F,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1099,K,Austin,1100F,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1100,P,Austin,1100F,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1101,L,Austin,1100F,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1102,J,Austin,1100F,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1103,G,Austin,1100F,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1104,D,Austin,1100F,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1105,B,Austin,1100F,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1106,Z,,,,,,,,,,,,,,,,,,,
1107,X,,,,,,,,,,,,,,,,,,,
1108,T,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1109,R,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1110,K,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1111,H,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1112,E,Mercedes Benz,LP1113,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1113,C,,,,,,,,,,,,,,,,,,,
1114,A,,,,,,,,,,,,,,,,,,,
1115,Y,,,,,,,,,,,,,,,,,,,
1116,U,Leyland Ashok,Comet ALCOP 3/1,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1117,S,,,,,,,,,,,,,,,,,,,
1118,P,,,,,,,,,,,,,,,,,,,
1119,L,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1120,G,,,,,,,,,,,,,,,,,,,
1121,D,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1122,B,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1123,Z,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1124,X,Albion,Viking EVK41L,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1125,T,Austin,1100F,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1126,R,Austin,1100F,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1127,M,Austin,1100F,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1128,K,Austin,1100F,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1129,H,Austin,1100F,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1130,C,Austin,1100F,Unknown,Singapore Bus Services,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
