#ID,,Make,Model,Bodywork,Operator,Chassis ID,Lifespan Expiry Date,Road Tax Expiry Date ,Livery,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model,Advertisement Override,Registration Date
9315,J,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF216SC025733,25Jan2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,26Jan1997
9316,G,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF210SC025730,03Feb2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,04Feb1997
9317,D,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF218SC025717,03Feb2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,04Feb1997
9318,B,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF212SC025731,12Feb2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,13Feb1997
9319,Z,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF217SC025725,12Feb2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,13Feb1997
9320,T,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF21XSC025718,12Feb2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,13Feb1997
9321,R,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF214SC025732,12Feb2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,13Feb1997
9322,M,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF211SC025722,23Feb2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,24Feb1997
9323,K,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF210SC025727,23Feb2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,24Feb1997
9324,H,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF218SC025720,23Feb2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,24Feb1997
9325,E,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF217SC025806,23Feb2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,24Feb1997
9326,C,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF215SC025805,23Feb2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,24Feb1997
9327,A,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF211SC025803,23Feb2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,24Feb1997
9328,Y,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF21XSC025735,12Mar2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,13Mar1997
9329,U,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF213SC025804,12Mar2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,13Mar1997
9330,P,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF217SC025823,12Mar2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,13Mar1997
9331,L,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF219SC025807,12Mar2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,13Mar1997
9332,J,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF214SC025813,12Mar2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,13Mar1997
9333,G,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF213SC025821,12Mar2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,13Mar1997
9334,D,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF215SC025822,12Mar2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,13Mar1997
9335,B,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF218SC025815,12Mar2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,13Mar1997
9336,Z,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF216SC025716,27Mar2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Mar1997
9337,X,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF216SC025814,27Mar2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Mar1997
9338,T,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF218SC025734,27Mar2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Mar1997
9339,R,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF213SC025740,27Mar2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Mar1997
9340,K,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF219SC025824,27Mar2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Mar1997
9341,H,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF212SC025728,27Mar2012,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,29Mar1995
9342,E,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF216SC025800,27Mar2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Mar1997
9343,C,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF219SC025760,27Mar2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Mar1997
9344,A,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF215SC025724,27Mar2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Mar1997
9345,Y,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF219SC025726,27Mar2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Mar1997
9346,U,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF211SC025736,27Mar2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Mar1997
9347,S,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF213SC025754,27Mar2012,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,29Mar1995
9348,P,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF219SC025757,27Mar2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Mar1997
9349,L,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF218SC025801,27Mar2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Mar1997
9350,G,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF214SC025875,14Apr2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,15Apr1997
9351,D,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF210SC025758,14Apr2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,15Apr1997
9352,B,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF212SC025759,14Apr2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,15Apr1997
9353,Z,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF217SC025756,14Apr2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,15Apr1997
9354,X,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF21XSC025752,14Apr2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,15Apr1997
9355,T,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF215SC025741,14Apr2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,15Apr1997
9356,R,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF211SC025753,14Apr2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,15Apr1997
9357,M,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF212SC025874,14Apr2012,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,16Apr1995
9358,K,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF216SC025876,14Apr2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,15Apr1997
9359,H,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF211SC025882,27Apr2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Apr1997
9360,C,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF21XSC025881,27Apr2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Apr1997
9361,A,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF215SC025738,27Apr2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Apr1997
9362,Y,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF212SC025907,27Apr2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Apr1997
9363,U,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF215SC025755,27Apr2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Apr1997
9364,S,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF217SC025742,27Apr2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Apr1997
9365,P,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF218SC025877,27Apr2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Apr1997
9366,L,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF219SC025743,27Apr2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Apr1997
9367,J,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF214SC025908,27Apr2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Apr1997
9368,G,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF217SC025739,27Apr2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Apr1997
9369,D,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF213SC025737,11May2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,12May1997
9370,Z,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF21XSC025802,11May2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,12May1997
9371,X,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF216SC025893,11May2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,12May1997
9372,T,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF211SC025896,11May2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,12May1997
9373,R,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF216SC025909,11May2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,12May1997
9374,M,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF212SC025910,11May2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,12May1997
9375,K,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF214SC025911,11May2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,12May1997
9376,H,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF217SC025921,11May2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,12May1997
9377,E,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF214SC025892,28May2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,29May1997
9378,C,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF21XSC025928,28May2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,29May1997
9379,A,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF211SC025932,28May2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,29May1997
9380,U,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF214SC025925,28May2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,29May1997
9381,S,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF215SC025934,28May2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,29May1997
9382,P,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF219SC025936,28May2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,29May1997
9383,L,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF218SC025927,28May2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,29May1997
9384,J,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF210SC025923,28May2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,29May1997
9385,G,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF216SC025926,11Jun2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,12Jun1997
9386,D,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF213SC025933,11Jun2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,12Jun1997
9387,B,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF217SC025935,11Jun2012,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,13Jun1995
9388,Z,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF213SC025883,11Jun2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,12Jun1997
9389,X,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF214SC025889,11Jun2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,12Jun1997
9390,R,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF219SC025905,11Jun2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,12Jun1997
9391,M,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF21XSC025878,11Jun2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,12Jun1997
9392,K,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF218SC025894,11Jun2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,12Jun1997
9393,H,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF21XSC025895,27Jun2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Jun1997
9394,E,Volvo,Olympian,Walter Alexander Royale,SBS Transit,SLVYNF212SC025924,27Jun2014,,SBS Transit Livery,Scrapped,,,3X1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Deans,Denso,,28Jun1997
